;filename;genre_ada;genre_svc;result;;;;
31;dorian_extra_spring.mp3;country;country;Yes;;;21;0,6
20;dorian_fin_blossom.mp3;rock;disco;No;;;14;0,4
6;dorian_fin_ginger.mp3;country;classical;No;;;35;
7;dorian_fin_golden.mp3;disco;disco;Yes;;;;
34;dorian_fin_prison.mp3;reggae;reggae;Yes;;;;
14;dorian_fin_solitude.mp3;metal;metal;Yes;;;;
25;dorian_fin_stars.mp3;country;jazz;No;;;;
0;hebv_df_duuug.mp3;blues;blues;Yes;;;;
2;hebv_df_fury.mp3;classical;classical;Yes;;;;
32;hebv_ds_mice.mp3;country;country;Yes;;;;
22;hebv_ds_sons.mp3;hiphop;reggae;No;;;;
23;hebv_ds_zum.mp3;metal;hiphop;No;;;;
4;hebv_fd_fog.mp3;country;reggae;No;;;;
19;hebv_fg_das.mp3;metal;metal;Yes;;;;
24;hebv_rs_bug.mp3;country;country;Yes;;;;
12;hebv_rs_climb.mp3;hiphop;hiphop;Yes;;;;
8;hebv_rs_path.mp3;disco;disco;Yes;;;;
26;hebv_rs_red.mp3;jazz;classical;No;;;;
10;hebv_rs_spit.mp3;metal;metal;Yes;;;;
17;hebv_rs_tired.mp3;blues;blues;Yes;;;;
15;hebv_rs_tumor.mp3;disco;disco;Yes;;;;
5;hebv_split_call.mp3;reggae;jazz;No;;;;
29;hebv_ww_wolf.mp3;country;reggae;No;;;;
16;hebv_ww_worm.mp3;rock;metal;No;;;;
13;vw_22_ballad.mp3;disco;disco;Yes;;;;
18;vw_22_fool.mp3;metal;metal;Yes;;;;
21;vw_22_liqorice.mp3;reggae;hiphop;No;;;;
27;vw_22_lullaby.mp3;country;country;Yes;;;;
28;vw_22_marriage.mp3;country;country;Yes;;;;
11;vw_22_togetherness.mp3;country;classical;No;;;;
9;vw_22_tumbleweeds.mp3;rock;hiphop;No;;;;
30;vw_22_turtles.mp3;disco;disco;Yes;;;;
1;vw_22_watcher.mp3;disco;disco;Yes;;;;
33;vw_ep_lucid.mp3;hiphop;reggae;No;;;;
3;vw_ep_moon_back.mp3;reggae;reggae;Yes;;;;